date,equity_10000,equity_25000,equity_50000,equity_100000,equity_250000,equity_500000,equity_1000000,equity_2000000
2007-10-19,0.0,0.0,1.545684150357957,2.8705678259882537,3.524747732319937,3.528860319063691,3.528860319063691,3.528860319063691
2007-10-22,0.0,0.0,1.532860890809008,2.847247108037003,3.4961713936950667,3.5002506382877394,3.5002506382877394,3.5002506382877394
2007-10-23,0.0,0.0,1.555799185086945,2.8903484812323796,3.549156450423815,3.553297516644153,3.553297516644153,3.553297516644153
2007-10-24,0.0,0.0,1.5446803070398836,2.8701861741804597,3.5244563297510716,3.5285685764936585,3.5285685764936585,3.5285685764936585
2007-10-25,0.0,0.0,1.5387732704325157,2.859704601536894,3.511644454642235,3.515741752812119,3.515741752812119,3.515741752812119
2007-10-26,0.0,0.0,1.5591224599457358,2.898016643837754,3.5587502819501453,3.562902542011108,3.562902542011108,3.562902542011108
2007-10-29,0.0,0.0,1.5607756210810362,2.901584039214693,3.5631884461442396,3.5673458845432324,3.5673458845432324,3.5673458845432324
2007-10-30,0.0,0.0,1.5530705011975074,2.8877544168426477,3.546262680336049,3.5504003701784423,3.5504003701784423,3.5504003701784423
2007-10-31,0.0,0.0,1.5597966508944543,2.9007557276373896,3.5622867514290015,3.5664431377533456,3.5664431377533456,3.5664431377533456
2007-11-01,0.0,0.0,1.5432478816030246,2.8704748925131565,3.5251574949587288,3.5292705598031935,3.5292705598031935,3.5292705598031935
2007-11-02,0.0,0.0,1.5504898579553028,2.884440175274746,3.542366907161577,3.5465000515140996,3.5465000515140996,3.5465000515140996
2007-11-05,0.0,0.0,1.5343736118261018,2.8549536226827015,3.506212818633454,3.510303779307455,3.510303779307455,3.510303779307455
2007-11-06,0.0,0.0,1.5373576365416508,2.8610011714815187,3.513699800856246,3.5177994971522484,3.5177994971522484,3.5177994971522484
2007-11-07,0.0,0.0,1.5253807706018927,2.839207789543971,3.486994102467644,3.491062639228407,3.491062639228407,3.491062639228407
2007-11-08,0.0,0.0,1.5316588197011987,2.8513887076459485,3.502014985627299,3.506101048375637,3.506101048375637,3.506101048375637
2007-11-09,0.0,0.0,1.5176691942295493,2.825840774903791,3.470697658987854,3.4747471814694357,3.4747471814694357,3.4747471814694357
2007-11-12,0.0,0.0,1.5127890110708562,2.817249818218571,3.460207812439028,3.464245095632259,3.464245095632259,3.464245095632259
2007-11-13,0.0,0.0,1.5281710337495666,2.8463914576716767,3.496062271071985,3.5001413883431343,3.5001413883431343,3.5001413883431343
2007-11-14,0.0,0.0,1.5429329113989998,2.8743831162349425,3.530503239100808,3.5346225412246937,3.5346225412246937,3.5346225412246937
2007-11-15,0.0,0.0,1.5363063981133018,2.862534463511017,3.5160087448869337,3.520111135200589,3.520111135200589,3.520111135200589
2007-11-16,0.0,0.0,1.5414528012691036,2.872619763680237,3.528455837424188,3.532572750691443,3.532572750691443,3.532572750691443
2007-11-19,0.0,0.0,1.5322673120397763,2.85599821763355,3.5080983845590845,3.512191545263845,3.512191545263845,3.512191545263845
2007-11-20,0.0,0.0,1.535802148830598,2.8630832726949853,3.516860989838775,3.5209643745303425,3.5209643745303425,3.5209643745303425
2007-11-21,0.0,0.0,1.5206210867780068,2.835278910956816,3.4827670125116628,3.486830617210492,3.486830617210492,3.486830617210492
2007-11-23,0.0,0.0,1.5337819448066992,2.8603147282525683,3.513581253206169,3.5176808111837645,3.5176808111837645,3.5176808111837645
2007-11-26,0.0,0.0,1.5356761060346422,2.864343921271839,3.518590272361163,3.5226956747359583,3.5226956747359583,3.5226956747359583
2007-11-27,0.0,0.0,1.544685895912299,2.8816459193296566,3.5399035990340297,3.5440338692607667,3.5440338692607667,3.5440338692607667
2007-11-28,0.0,0.0,1.5587227655189013,2.9083290621049485,3.5727403816595134,3.576908965015923,3.576908965015923,3.576908965015923
2007-11-29,0.0,0.0,1.5520362217658494,2.896350199859654,3.5580817839691714,3.562233264043553,3.562233264043553,3.562233264043553
2007-11-30,0.0,0.0,1.5714147635258084,2.93301097064701,3.6031760099969565,3.607380104876784,3.607380104876784,3.607380104876784
2007-12-03,0.0,0.0,1.5683872962810421,2.927857667824749,3.596900663669387,3.6010974366334128,3.6010974366334128,3.6010974366334128
2007-12-04,0.0,0.0,1.5574215585653333,2.9078843961555587,3.5724190450425874,3.576587253471538,3.576587253471538,3.576587253471538
2007-12-05,0.0,0.0,1.5676637943641276,2.9275054529526354,3.5965809531077557,3.600777353041562,3.600777353041562,3.600777353041562
2007-12-06,0.0,0.0,1.567132825525723,2.9270116500095167,3.596030047782831,3.6002258049342006,3.6002258049342006,3.6002258049342006
2007-12-07,0.0,0.0,1.5699648711132423,2.9327990627588747,3.603196056817405,3.6074001750873563,3.6074001750873563,3.6074001750873563
2007-12-10,0.0,0.0,1.5730547703132498,2.939069176766662,3.610954885020954,3.61516805609594,3.61516805609594,3.61516805609594
2007-12-11,0.0,0.0,1.5726841484869658,2.93887480465738,3.6107711733585073,3.61498413008336,3.61498413008336,3.61498413008336
2007-12-12,0.0,0.0,1.6024775611202968,2.9950479604253197,3.6798419494898127,3.6841354962539734,3.6841354962539734,3.6841354962539734
2007-12-13,0.0,0.0,1.5932752014616631,2.9783469702619936,3.6593742971331875,3.663643962756866,3.663643962756866,3.663643962756866
2007-12-14,0.0,0.0,1.5808964525011995,2.9557055162191346,3.631608504774486,3.635845773972022,3.635845773972022,3.635845773972022
2007-12-17,0.0,0.0,1.5722529649309473,2.9400438641241835,3.6124195313574927,3.61663441134488,3.61663441134488,3.61663441134488
2007-12-18,0.0,0.0,1.5850884915936239,2.9645443981944233,3.642578277587916,3.646828346039663,3.646828346039663,3.646828346039663
2007-12-19,0.0,0.0,1.5847807928892799,2.964467696852217,3.642537672574713,3.646787693649555,3.646787693649555,3.646787693649555
2007-12-20,0.0,0.0,1.5934362237270883,2.981157311830544,3.6630983883848707,3.667372399184284,3.667372399184284,3.667372399184284
2007-12-21,0.0,0.0,1.6072773642410914,3.007551686760598,3.6955831764476605,3.69989508967837,3.69989508967837,3.69989508967837
2007-12-24,0.0,0.0,1.608585209793028,3.0104980590139476,3.699254759518041,3.7035709566592634,3.7035709566592634,3.7035709566592634
2007-12-26,0.0,0.0,1.606664223265702,3.007402128878392,3.6955015340824313,3.699813352054889,3.699813352054889,3.699813352054889
2007-12-27,0.0,0.0,1.5990677107237405,2.993682095665937,3.6786935160320775,3.682985722833049,3.682985722833049,3.682985722833049
2007-12-28,0.0,0.0,1.6055237310414836,3.006268143310439,3.69421146353452,3.6985217762852036,3.6985217762852036,3.6985217762852036
2007-12-31,0.0,0.0,1.5982992139451773,2.9932401457119586,3.6782534386634924,3.6825451319932916,3.6825451319932916,3.6825451319932916
2008-01-02,0.0,0.0,1.601115685646935,2.9990144244218153,3.6854011803963918,3.6897012135309457,3.6897012135309457,3.6897012135309457
2008-01-03,0.0,0.0,1.6071278274144158,3.0107754347266003,3.699905611338723,3.7042225678774323,3.7042225678774323,3.7042225678774323
2008-01-04,0.0,0.0,1.5911814623154752,2.981401604895422,3.663859461552067,3.6681343603524548,3.6681343603524548,3.6681343603524548
2008-01-07,0.0,0.0,1.5962040167605898,2.9913124085434433,3.6760915787249093,3.680380749651064,3.680380749651064,3.680380749651064
2008-01-08,0.0,0.0,1.6023312729062775,3.003295128624173,3.690869527849689,3.6951759413141145,3.6951759413141145,3.6951759413141145
2008-01-09,0.0,0.0,1.6026538228633382,3.004399948757102,3.6922787120112313,3.6965867696761903,3.6965867696761903,3.6965867696761903
2008-01-10,0.0,0.0,1.5907373418673465,2.982561198673441,3.6654911884335895,3.6697679910917427,3.6697679910917427,3.6697679910917427
2008-01-11,0.0,0.0,1.5811845830952163,2.9651506879341665,3.6441467345181815,3.648398633005911,3.648398633005911,3.648398633005911
2008-01-14,0.0,0.0,1.5972184640214457,2.9957191698379892,3.681768773292164,3.686064568225734,3.686064568225734,3.686064568225734
2008-01-15,0.0,0.0,1.5774994542517895,2.959235201694336,3.636981476076557,3.6412250143214773,3.6412250143214773,3.6412250143214773
2008-01-16,0.0,0.0,1.562998866217749,2.932534340575601,3.60421934038402,3.6084246525954256,3.6084246525954256,3.6084246525954256
2008-01-17,0.0,0.0,1.5693434707584242,2.9449391783642156,3.619520944998983,3.623744110736677,3.623744110736677,3.623744110736677
2008-01-18,0.0,0.0,1.5775801902530033,2.960896791058094,3.63918866311693,3.643434776652014,3.643434776652014,3.643434776652014
